english_word,spanish_word,english_hint,spanish_hint
patience,paciencia,Ability to wait calmly,Capacidad de esperar
traitor,traidor,Person who betrays trust,Persona que traiciona
heck,escándalo,Informal word expressing annoyance,Exclamación informal
hail,granizo,Frozen rain falling from sky,Precipitación de hielo
port,puerto,Harbor for ships,Lugar donde atracan barcos
beef,carne de res,Meat from cattle,Carne de vaca
routine,rutina,Regular pattern of actions,Hábito repetido
outfit,atuendo,Complete set of clothes,Conjunto de ropa
confession,confesión,Admission of wrongdoing,Declaración de culpa
ease,facilidad,State of comfort or simplicity,Ausencia de dificultad
deputy,subalterno,Person acting for another,Sustituto oficial
principal,director,Head of a school or main person,Jefe de escuela
stake,apuesta,Amount risked in a bet,Dinero arriesgado
link,enlace,Connection between things,Conexión
industry,industria,Production of goods,Actividad económica productiva
costume,disfraz,Clothing worn for role or celebration,Ropa de personaje
argument,argumento,Reasoned discussion or dispute,Debate o discusión
motion,movimiento,Act of moving,Acción de moverse
construction,construcción,Building process,Proceso de edificar
aim,objetivo,Goal or purpose,Meta
pattern,patrón,Repeated design or form,Modelo repetido
nail,clavo,Metal spike used in building,Pieza metálica para fijar
electricity,electricidad,Energy from electric charge,Energía eléctrica
warrior,guerrero,Fighter in battle,Soldado valiente
fairy,hada,Mythical magical being,Criatura mágica
anniversary,aniversario,Yearly celebration of event,Fecha anual
temperature,temperatura,Measure of heat or cold,Medida del calor
booth,caseta,Small enclosed space,Pequeña estructura
pet,mascota,Animal kept for companionship,Animal doméstico
sport,deporte,Physical competitive activity,Actividad física competitiva
bail,fianza,Money to free someone from jail,Dinero para libertad provisional
interrupt,interrupción,Act of stopping something briefly,Acción de detener
tune,melodía,Musical sequence of notes,Serie musical
prayer,oración,Religious communication to deity,Comunicación religiosa
conscience,conciencia,Inner sense of right and wrong,Sentido moral interno
headquarters,cuartel general,Central command office,Centro de mando
cock,gallo,Male chicken,Ave macho
chip,chip,Small electronic component,Componente electrónico
guilt,culpa,Feeling of responsibility for wrong,Responsabilidad moral
chill,escalofrío,Cold shivering sensation,Sensación de frío
mouse,ratón,Small rodent or computer device,Roedor pequeño
dealer,distribuidor,Person selling goods,Vendedor o intermediario
backup,respaldo,Copy for safety,Copia de seguridad
paradise,paraíso,Perfect or heavenly place,Lugar ideal
bishop,obispo,Senior Christian church official,Líder religioso cristiano
trunk,baúl,Large storage chest,Caja grande
tradition,tradición,Custom passed through generations,Costumbre heredada
salad,ensalada,Mixed vegetables dish,Plato de vegetales
complex,complejo,Group of buildings or idea,Conjunto complicado
average,promedio,Typical or mean value,Valor medio
cliff,acantilado,Steep rock face,Borde rocoso alto
greek,griego,Person or language of Greece,Persona o idioma de Grecia
behalf,representación,Acting for another,Actuar por alguien
punk,punk,Rebellious youth subculture,Subcultura rebelde
strip,tira,Long narrow piece,Franja estrecha
pipe,tubería,Tube for liquid flow,Conducto para líquidos
sample,muestra,Small example part,Pequeña parte
laundry,lavandería,Clothes washing service,Lugar para lavar ropa
environment,medio ambiente,Natural surroundings,Entorno natural
cage,jaula,Enclosure for animals,Recinto para animales
robot,robot,Programmable machine,Máquina automática
habit,hábito,Repeated behavior,Costumbre
wrap,envoltura,Covering around something,Cubierta
belly,vientre,Front of abdomen,Parte del abdomen
benefit,beneficio,Advantage gained,Ventaja
sink,lavabo,Basin for washing,Recipiente para lavar
beep,pitido,Short electronic sound,Sonido corto
motive,motivo,Reason for action,Razón
circus,circo,Traveling show with performers,Espectáculo itinerante
territory,territorio,Land under control,Tierra controlada
pit,fosa,Deep hole,Hoyo profundo
apology,disculpa,Expression of regret,Expresión de arrepentimiento
exam,examen,Test of knowledge,Prueba académica
festival,festival,Public celebration,Fiesta pública
actress,actriz,Female actor,Actora
ward,sala,Hospital room,Cuarto de hospital
activity,actividad,Action or task,Acción
worker,trabajador,Person who works,Persona que trabaja
policeman,policía,Law enforcement officer,Agente de seguridad
shelter,refugio,Place for protection,Lugar de protección
existence,existencia,State of being alive,Estado de existir
atmosphere,atmósfera,Layer of gases around planet,Capa de gases
product,producto,Item produced for sale,Bien producido
meantime,entretanto,During the time between events,Mientras tanto
limit,límite,Boundary or restriction,Restricción
election,elección,Public vote,Proceso de votar
underwear,ropa interior,Clothing worn under others,Ropa interior
pulse,pulso,Heartbeat rhythm,Latido del corazón
farewell,despedida,Goodbye expression,Acto de decir adiós
slap,bofetada,Hit with open hand,Golpe con la mano
yell,grito,Loud shout,Grito fuerte
doorbell,timbre,Bell at door,Timbre de entrada
adventure,aventura,Exciting experience,Experiencia emocionante
passport,pasaporte,Travel identification document,Documento para viajar
hammer,martillo,Tool for driving nails,Herramienta para clavos
hood,capucha,Head covering of garment,Cubierta para la cabeza
judgment,juicio,Decision by court or mind,Decisión judicial
homicide,homicidio,Killing of a person,Muerte causada por otra persona
patrol,patrulla,Group watching area,Grupo de vigilancia
flow,flujo,Movement of liquid or ideas,Movimiento continuo
fence,cerca,Barrier around land,Barrera
noon,mediodía,Middle of the day,Doce del día
occasion,ocasión,Special event,Momento especial
personality,personalidad,Character of a person,Rasgos personales
fantasy,fantasía,Imaginative fiction,Historia imaginaria
produce,producto fresco,Fruits and vegetables sold fresh,Alimentos frescos
odds,probabilidades,Chance of event occurring,Posibilidad estadística
signature,firma,Written name for approval,Nombre escrito
individual,individuo,Single person,Persona única
charm,encanto,Attractive quality,Atractivo especial
chairman,presidente,Leader of a meeting,Dirigente
frame,marco,Border around picture,Borde de imagen
relief,alivio,Removal of pain,Reducción del dolor
cloud,nube,Mass of vapor in sky,Masa de vapor
corpse,cadáver,Dead human body,Cuerpo muerto
organization,organización,Structured group,Grupo organizado
host,anfitrión,Person receiving guests,Persona que recibe invitados
transport,transporte,System of moving people or goods,Movimiento de personas
oxygen,oxígeno,Gas essential for breathing,Gas vital
citizen,ciudadano,Member of a nation,Persona de un país
impact,impacto,Strong effect or collision,Efecto fuerte
offense,ofensa,Insulting action,Acción ofensiva
producer,productor,Person creating film or goods,Persona que produce
kit,kit,Set of tools or items,Conjunto de objetos
ad,anuncio,Advertisement message,Mensaje publicitario
escort,escolta,Guard accompanying someone,Protección acompañante
invitation,invitación,Request to attend event,Petición para asistir
terrorist,terrorista,Person using violence for politics,Persona violenta política
clay,arcilla,Soft earth used for pottery,Tierra moldeable
tragedy,tragedia,Serious disastrous event,Evento triste
math,matemática,Study of numbers,Ciencia de números
shed,cobertizo,Small storage building,Edificio pequeño
procedure,procedimiento,Official method,Método formal
monitor,monitor,Device showing images,Pantalla de computadora
spin,giro,Rotation movement,Movimiento circular
clown,payaso,Circus comic performer,Artista cómico
necklace,collar,Jewelry worn on neck,Joya de cuello
mud,barro,Wet soil,Tierra mojada
profile,perfil,Side view or summary,Descripción breve
angle,ángulo,Space between lines,Medida geométrica
furniture,muebles,Household furnishings,Objetos de casa
engagement,compromiso,Promise to marry,Promesa matrimonial
moron,idiota,Very foolish person,Persona muy tonta
shark,tiburón,Large predatory fish,Pez grande
humanity,humanidad,All humans collectively,Conjunto humano
chop,corte,Act of cutting,Golpe de corte
snap,chasquido,Sharp cracking sound,Sono breve
sales,ventas,Act of selling goods,Comercio de productos
stable,establo,Building for horses,Lugar para caballos
granny,abuela,Informal grandmother,Abuela cariñosa
pole,poste,Long vertical rod,Barra vertical
dancer,bailarín/bailarina,Person who dances,Persona que baila
footage,metraje,Recorded film material,Material filmado
increase,aumento,Rise in amount,Incremento
stretch,estiramiento,Extension movement,Movimiento de extensión
romance,romance,Love story,Historia amorosa
helicopter,helicóptero,Aircraft with rotating blades,Aeronave de hélices
pitch,lanzamiento,Throw in sports,Tiro deportivo
instance,instancia,Example or case,Ejemplo
lemon,limón,Sour yellow citrus fruit,Fruta cítrica
headache,dolor de cabeza,Pain in the head,Dolor en la cabeza
rubbish,basura,Waste or trash,Desperdicio
session,sesión,Period of activity,Periodo de trabajo
pin,alfiler,Small sharp fastener,Pieza pequeña puntiaguda
chamber,cámara,Large room or hall,Gran habitación
commercial,comercial,Advertisement or business related,Relacionado con publicidad
liver,hígado,Internal organ filtering blood,Órgano del cuerpo
penis,pene,Male reproductive organ,Órgano reproductor masculino
engineer,ingeniero,Technical designer,Profesional técnico
supper,cena,Evening meal,Comida nocturna
liquor,licor,Strong alcoholic drink,Bebida alcohólica
drill,taladro,Tool for making holes,Herramienta para perforar
alley,callejón,Narrow passage between buildings,Calle estrecha
hop,salto,Small jump,Brinco pequeño
destruction,destrucción,Complete ruin,Daño total
junk,chatarra,Worthless old material,Material viejo
rocket,cohete,Vehicle launched into space,Vehículo espacial
elder,anciano,Older respected person,Persona mayor
opera,ópera,Dramatic musical performance,Obra musical teatral
highway,autopista,Major fast road,Carretera principal
fighter,luchador,Person who fights,Persona combatiente
shell,concha,Covering of animal or egg,Cubierta dura
alpha,alfa,First letter of Greek alphabet,Primera letra griega
liberty,libertad,State of being free,Estado de ser libre
surgeon,cirujano,Medical doctor performing operations,Médico que realiza cirugías
bum,vago,Lazy or homeless person,Persona perezosa o sin hogar
widow,viuda,Woman whose spouse died,Mujer cuyo esposo murió
reverend,reverendo,Clergy title,Título religioso
insult,insulto,Offensive remark,Palabra ofensiva
comment,comentario,Statement or opinion,Observación
soap,jabón,Cleaning substance,Sustancia para lavar
prick,pinchazo,Sharp small puncture,Pequeña punción
scale,balanza,Device for weighing,Instrumento para pesar
grief,pena,Deep sorrow,Tristeza profunda
knee,rodilla,Joint in the leg,Articulación de la pierna
slut,zorra,Derogatory term for promiscuous woman,Insulto ofensivo
album,álbum,Collection of photos or music,Colección de fotos o música
defendant,acusado,Person charged in court,Persona acusada
goddess,diosa,Female deity,Deidad femenina
bend,curva,Turn in road or shape,Desviación
makeup,maquillaje,Cosmetics applied to face,Productos cosméticos
loyalty,lealtad,Faithfulness or devotion,Fidelidad
powder,polvo,Fine dry particles,Sustancia pulverizada
gene,gen,Unit of heredity,Unidad genética
diet,dieta,Food plan for health,Régimen alimenticio
parent,padre/madre,Mother or father,Progenitor
jam,mermelada,Fruit preserve,Conserva de fruta
salary,salario,Regular payment for work,Pago por trabajo
latin,latín,Ancient Roman language,Idioma antiguo
population,población,Number of inhabitants,Número de habitantes
ambassador,embajador,Official diplomatic representative,Representante diplomático
locker,taquilla,Storage compartment,Casillero
praise,alabanza,Expression of approval,Elogio
trauma,trauma,Serious emotional or physical shock,Choque emocional
shore,orilla,Edge of water,Borde del agua
wealth,riqueza,Great amount of assets,Gran fortuna
honeymoon,luna de miel,Trip after marriage,Viaje de recién casados
blade,hoja,Cutting edge or thin plate,Filo o lámina
whiskey,whisky,Distilled alcoholic drink,Bebida alcohólica
core,núcleo,Central part,Parte central
aid,ayuda,Support or assistance,Apoyo
tent,tienda de campaña,Portable shelter,Alojamiento de tela
blonde,rubia,Person with light hair,Persona de cabello claro
intention,intención,Planned aim,Propósito
abuse,abuso,Misuse or harm,Maltrato
poetry,poesía,Literary art with rhythm,Arte literario
jet,jet,High-speed aircraft,Avión rápido
resistance,resistencia,Opposition or endurance,Oposición
beard,barba,Hair on chin or face,Vello facial
strategy,estrategia,Plan for achieving goal,Plan organizado
goat,cabra,Domestic farm animal,Animal de granja
award,premio,Prize for achievement,Reconocimiento
corn,maíz,Grain crop,Planta alimenticia
pro,profesional,Expert or paid specialist,Especialista
net,red,Woven mesh,Tejido de hilos
tattoo,tatuaje,Permanent skin design,Dibujo en piel
stroke,golpe,Hit or medical attack,Golpe físico
novel,novela,Long fictional book,Libro de ficción
chaos,caos,Complete disorder,Desorden total
colleague,colega,Work associate,Compañero de trabajo
scientist,científico,Person studying science,Investigador
tale,cuento,Short narrative story,Historia breve
warehouse,almacén,Large storage building,Edificio de almacenamiento
elephant,elefante,Large trunked mammal,Mamífero grande
hostage,rehén,Person held captive,Persona retenida
branch,rama,Part of a tree,Extensión de árbol
objection,objeción,Expression of disagreement,Protesta formal
lap,regazo,Upper legs when seated,Parte superior de piernas
possession,posesión,Ownership of something,Propiedad
tap,grifo,Device controlling water flow,Llave de agua
superior,superior,Higher in rank,De rango más alto
chin,barbilla,Lower face bone,Parte inferior del rostro
soda,refresco,Sweet carbonated drink,Bebida gaseosa
commission,comisión,Group or fee,Grupo oficial
cinema,cine,Film theater,Teatro de películas
muscle,músculo,Body tissue for movement,Tejido corporal
poem,poema,Short literary verse work,Composición poética
appeal,apelación,Legal request for review,Recurso legal
steak,bistec,Slice of beef,Carne cortada
survival,supervivencia,Continuing to live,Continuar viviendo
profit,beneficio,Financial gain,Ganancia económica
symbol,símbolo,Sign representing idea,Representación gráfica
madness,locura,Extreme insanity,Pérdida de razón
development,desarrollo,Growth or progress,Progreso
sail,vela,Cloth catching wind on boat,Tela de barco
tooth,diente,Hard structure in mouth,Estructura dental
review,reseña,Evaluation or critique,Crítica
basketball,baloncesto,Sport with hoop and ball,Deporte
management,gerencia,Administration of organization,Dirección empresarial
tube,tubo,Hollow cylinder,Conducto hueco
rifle,rifle,Long firearm,Arma larga
log,tronco,Large piece of wood,Parte de árbol
bee,abeja,Insect producing honey,Insecto polinizador
squeeze,apretón,Strong press or hug,Presión fuerte
manner,manera,Way of doing something,Forma
entry,entrada,Act of entering,Acceso
cable,cable,Thick electrical wire,Conductor eléctrico
pan,sartén,Flat cooking pan,Utensilio de cocina
native,nativo,Person born in place,Persona originaria
waiter,camarero,Restaurant server,Empleado de restaurante
brick,ladrillo,Baked clay building block,Bloque de construcción
pork,cerdo,Pig meat,Carne de cerdo
pile,pila,Heap or stack,Montón
expression,expresión,Way feelings are shown,Manifestación
clan,clan,Extended family group,Grupo familiar
facility,instalación,Place built for activity,Infraestructura
reception,recepción,Act of welcoming,Evento de bienvenida
statue,estatua,Sculpted monument,Figura esculpida
satellite,satélite,Object orbiting planet,Objeto orbital
polish,pulimento,Shiny surface treatment,Sustancia para brillar
pound,libra,Unit of weight,Unidad de peso
communication,comunicación,Exchange of information,Intercambio de información
fridge,nevera,Appliance for cooling food,Electrodoméstico
foundation,fundación,Base or organization,Base estructural
appearance,apariencia,Outward look,Aspecto exterior
proposal,propuesta,Suggested plan,Sugerencia formal
combat,combate,Fight between forces,Enfrentamiento
slide,tobogán,Playground sliding structure,Estructura para deslizar
delay,retraso,Postponement,Demora
labor,trabajo,Physical or manual work,Actividad laboral
burden,carga,Heavy responsibility,Peso o responsabilidad
payment,pago,Money given for service,Dinero entregado
mall,centro comercial,Large shopping center,Complejo de tiendas
paperwork,papeleo,Administrative documents,Documentos burocráticos
lamb,cordero,Young sheep,Oveja joven
item,artículo,Single object or entry,Elemento
testimony,testimonio,Statement in court,Declaración legal
hip,cadera,Joint connecting leg,Cadera del cuerpo
prom,baile de graduación,Formal school dance,Fiesta escolar
patch,parche,Piece used to repair,Remiendo
assignment,tarea,Work given to complete,Trabajo asignado
motel,motel,Roadside hotel,Hotel de carretera
fraud,fraude,Intentional deception,Engaño
dessert,postre,Sweet dish after meal,Comida dulce
injury,lesión,Physical damage to body,Daño corporal
bout,combate,Short fight,Enfrentamiento
sack,saco,Large bag,Bolsa grande
soil,suelo,Earth or ground,Tierra
badge,placa,Official insignia,Insignia
motor,motor,Machine producing motion,Máquina de movimiento
description,descripción,Detailed account,Explicación detallada
battery,batería,Energy storage device,Dispositivo eléctrico
complaint,queja,Expression of dissatisfaction,Protesta
cowboy,vaquero,Cattle ranch worker,Trabajador ganadero
privacy,privacidad,State of being free from observation,Intimidad
wisdom,sabiduría,Deep knowledge or insight,Conocimiento profundo
contrary,contrario,Opposite position,Opuesto
crane,grúa,Machine lifting heavy objects,Máquina elevadora
leak,fuga,Unwanted escape of liquid,Escape de líquido
pill,pastilla,Small medicine tablet,Medicamento sólido
suitcase,maleta,Travel luggage,Equipaje
vodka,vodka,Clear distilled alcohol,Bebida alcohólica
chemical,químico,Substance of chemistry,Sustancia química
catholic,católico,Member of Catholic church,Religión cristiana
soccer,fútbol,Team sport with ball,Deporte con balón
brush,cepillo,Tool with bristles,Herramienta para limpiar
illness,enfermedad,Disease or sickness,Estado de salud
flip,voltereta,Quick turn or somersault,Giro acrobático
twist,giro,Rotation movement,Movimiento de rotación
chapter,capítulo,Section of a book,Parte de libro
measure,medida,Standard of size or amount,Unidad de medición
radar,radar,Detection system with radio waves,Sistema de detección
editor,editor,Person preparing publications,Responsable editorial
structure,estructura,Arrangement of parts,Organización interna
marshal,mariscal,High-ranking officer,Oficial militar
bid,oferta,Proposed price in auction,Propuesta de precio
palm,palma,Inner hand surface,Parte interior de mano
pub,pub,Public bar,Bar tradicional
analysis,análisis,Detailed examination,Estudio detallado
throne,trono,Seat of a monarch,Asiento real
barn,granero,Farm storage building,Edificio agrícola
rage,ira,Intense anger,Enojo extremo
fleet,flota,Group of ships or vehicles,Conjunto de barcos
budget,presupuesto,Financial plan,Plan financiero
humor,humor,Quality of being funny,Sentido cómico
employee,empleado,Person working for company,Trabajador contratado
medication,medicación,Drug treatment,Tratamiento con medicamentos
booze,alcohol,Informal term for liquor,Bebida alcohólica
sis,hermana,Informal sister,Hermana familiar
turtle,tortuga,Slow reptile with shell,Reptil con caparazón
nut,nuez,Hard-shelled edible seed,Semilla comestible
coin,moneda,Metal money piece,Dinero metálico
basis,base,Underlying support,Fundamento
discussion,discusión,Conversation about topic,Debate
temper,temperamento,Emotional disposition,Carácter
plot,trama,Sequence of story events,Historia narrativa
casino,casino,Gambling establishment,Lugar de apuestas
poker,póker,Card gambling game,Juego de cartas
farmer,granjero,Agricultural worker,Trabajador del campo
counter,mostrador,Surface for serving customers,Mesa de atención
fucker,cabrón,Strong insult,Insulto vulgar
repair,reparación,Act of fixing something,Arreglo
cookie,galleta,Sweet baked snack,Dulce horneado
baker,panadero,Person who bakes bread,Profesión panadería
massage,masaje,Body manipulation for relaxation,Terapia corporal
entertainment,entretenimiento,Amusement activity,Diversión
bucket,cubo,Container with handle,Recipiente
whip,látigo,Flexible striking tool,Herramienta flexible
forgiveness,perdón,Act of pardoning,Acto de disculpar
spider,araña,Eight-legged arachnid,Arácnido
phase,fase,Stage in process,Etapa
diary,diario,Personal journal,Cuaderno personal
blanket,manta,Thick warm covering,Cobertura de tela
comedy,comedia,Humorous dramatic work,Obra humorística
height,altura,Measurement from base to top,Medida vertical
dive,buceo,Act of swimming underwater,Actividad bajo el agua
tennis,tenis,Racket sport with net,Deporte con raqueta
sunshine,sol,Light from the sun,Luz solar
dope,droga,Illegal narcotic substance,Sustancia narcótica
permit,permiso,Official authorization,Autorización
jazz,jazz,Music genre with improvisation,Género musical
swallow,golondrina,Small migratory bird,Ave migratoria
towel,toalla,Cloth for drying,Cubierta de tela para secar
function,función,Purpose or role,Propósito
bunny,conejo,Small rabbit,Animal pequeño
niece,sobrina,Daughter of sibling,Hija de hermano
prosecutor,fiscal,Lawyer presenting case against accused,Abogado del estado
fund,fondo,Pool of money,Cantidad de dinero
pump,bomba,Device moving liquid,Dispositivo hidráulico
region,región,Geographic area,Zona geográfica
weakness,debilidad,Lack of strength,Falta de fuerza
discovery,descubrimiento,Finding something new,Hallazgo
needle,aguja,Thin pointed instrument,Instrumento puntiagudo
executive,ejecutivo,High-level manager,Directivo
halt,parada,Stopping action,Detención
nest,nido,Bird home,Estructura de aves
gravity,gravedad,Force pulling objects toward earth,Fuerza física
wagon,vagón,Railroad car,Carro ferroviario
con,estafa,Swindle or fraud,Engaño
burst,explosión,Sudden break or blast,Estallido
weed,hierba,Wild unwanted plant,Planta silvestre
concept,concepto,Abstract idea,Idea abstracta
vessel,buque,Large ship,Barco grande
zoo,zoológico,Animal park,Parque de animales
stink,hedor,Very bad smell,Olor fuerte
leather,cuero,Animal skin material,Material de piel
mexican,mexicano,Person from Mexico,Persona de México
sheet,hoja,Thin flat piece,Lámina delgada
boot,bota,Sturdy footwear,Calzado
reverse,reverso,Opposite side,Lado opuesto
grandson,nieto,Son of one's child,Hijo del hijo
shield,escudo,Protective armor piece,Protección
conduct,conducta,Behavior,Comportamiento
luggage,equipaje,Travel bags,Maletas
promotion,promoción,Advancement or marketing,Ascenso o publicidad
menu,menú,List of food items,Lista de platos
bacon,tocino,Pork belly meat,Carne de cerdo
method,método,Systematic procedure,Procedimiento
parade,desfile,Public procession,Marcha pública
potato,patata,Starchy root vegetable,Tubérculo
tag,etiqueta,Label attached to item,Marca identificadora
radiation,radiación,Energy emission,Energía emitida
technique,técnica,Specialized skill,Método especializado
jewelry,joyería,Decorative ornaments,Joyería
nanny,niñera,Child caretaker,Cuidadora infantil
cart,carrito,Small wheeled vehicle,Carro pequeño
tissue,tejido,Body cell structure,Material biológico
shooter,tirador,Person firing weapon,Persona que dispara
arrival,llegada,Act of coming,Llegada
root,raíz,Underground plant part,Parte de planta
galaxy,galaxia,Large star system,Sistema de estrellas
gossip,chisme,Rumor about people,Comentario informal
skill,habilidad,Learned ability,Capacidad
conspiracy,conspiración,Secret plan,Plan secreto
groom,novio,Man about to marry,Hombre que se casa
cherry,cereza,Small red fruit,Fruta
hunger,hambre,Need for food,Necesidad de comer
ideal,ideal,Perfect model,Modelo perfecto
dough,masa,Mixed flour paste,Masa de harina
terror,terror,Extreme fear,Miedo extremo
ham,jamón,Pork meat product,Carne curada
priority,prioridad,Something most important,Importancia alta
mankind,humanidad,All humans collectively,Toda la especie humana
click,clic,Short computer sound,Sonido breve
european,europeo,Person from Europe,Persona de Europa
pillow,almohada,Head cushion for sleeping,Cojín para dormir
scan,escáner,Electronic image reading,Dispositivo digital
rehearsal,ensayo,Practice before performance,Práctica
poet,poeta,Writer of poetry,Autor de poesía
celebration,celebración,Festive event,Evento festivo
cattle,ganado,Farm herd animals,Animales de granja
drawer,cajón,Sliding storage box,Compartimento
lighter,encendedor,Device producing flame,Dispositivo de fuego
register,registro,Official record,Documento oficial
comic,cómic,Illustrated story book,Historieta
lamp,lámpara,Electric light device,Dispositivo de luz
stab,puñalada,Knife attack,Ataque con cuchillo
dignity,dignidad,Self-respect,Respeto propio
wreck,naufragio,Ship destruction,Accidente marítimo
relative,pariente,Family member,Familiar
coma,coma,Deep unconscious state,Estado médico
corporal,cabo,Low military rank,Rango militar
basket,cesta,Woven container,Contenedor tejido
horror,horror,Extreme fear,Gran miedo
oath,juramento,Solemn promise,Promesa formal
steam,vapor,Water gas,Vapor de agua
solo,solo,Single performance,Actuación individual
cemetery,cementerio,Burial ground,Lugar de entierro
bump,golpe,Light collision,Choque leve
personnel,personal,Employees of organization,Empleados
scum,escoria,Contemptible person,Persona despreciable
mob,multitud,Crowd often violent,Grupo grande
combination,combinación,Mix of elements,Mezcla
beam,viga,Structural support bar,Barra estructural
alliance,alianza,Formal partnership,Acuerdo
counselor,consejero,Advisor,Persona que aconseja
nap,siesta,Short sleep,Descanso corto
conflict,conflicto,Serious disagreement,Disputa
assistance,asistencia,Help or support,Ayuda
retreat,retiro,Strategic withdrawal,Retirada
candidate,candidato,Person seeking position,Persona aspirante
rubber,goma,Elastic material,Material flexible
bingo,bingo,Number game,Juego de números
autopsy,autopsia,Post-mortem examination,Examen médico
carpet,alfombra,Floor covering,Tapete
puppy,cachorro,Young dog,Perro joven
gut,intestino,Part of digestive system,Órgano digestivo
coffin,ataúd,Funeral box,Caja funeraria
instant,instante,Very short time,Tiempo breve
ash,ceniza,Powder from burning,Residuo de fuego
scandal,escándalo,Public disgrace,Controversia pública
ally,aliado,Partner in cooperation,Socio
arrow,flecha,Projectile from bow,Arma de arco
misery,miseria,Extreme suffering,Pobreza extrema
cotton,algodón,Soft plant fiber,Fibra vegetal
suite,suite,Group of rooms,Conjunto de habitaciones
lecture,conferencia,Formal speech,Discurso público
economy,economía,System of production and trade,Sistema económico
stare,mirada,Long intense look,Mirada fija
guardian,guardián,Protector,Persona que protege
gig,actuación,Musical performance,Presentación musical
investment,inversión,Use of money for profit,Capital invertido
heroin,heroína,Illegal narcotic drug,Droga opioide
deposit,depósito,Money placed in bank,Dinero guardado
medal,medalla,Award for achievement,Premio metálico
gum,chicle,Chewing candy,Goma masticable
swell,hinchazón,Swelling,Aumento corporal
commitment,compromiso,Serious promise,Promesa formal
hut,cabaña,Small simple house,Vivienda simple
rear,parte trasera,Back side,Sección posterior
photographer,fotógrafo,Person taking photos,Profesión fotográfica
excitement,emoción,Feeling of enthusiasm,Sentimiento fuerte
ranch,rancho,Large farm property,Granja grande
fee,tarifa,Payment for service,Costo
tool,herramienta,Instrument for work,Objeto de trabajo
profession,profesión,Career occupation,Ocupación
document,documento,Written record,Texto oficial
journalist,periodista,News reporter,Profesión informativa
bait,cebo,Lure for animals,Señuelo
breast,pecho,Chest area,Parte del cuerpo
sorrow,pena,Sadness,Tristeza
roommate,compañero de cuarto,Person sharing room,Persona que comparte habitación
counsel,consejo,Advice,Sugerencia
cannon,cañón,Large gun,Arma pesada
penalty,penalización,Punishment or fine,Sanción
announcement,anuncio,Public statement,Declaración pública
cocaine,cocaína,Illegal stimulant drug,Droga estimulante
embrace,abrazo,Hug,Contacto afectivo
spike,púa,Sharp pointed object,Punta aguda
silk,seda,Smooth natural fiber,Material textil
theft,robo,Stealing crime,Delito
visitor,visitante,Person visiting,Persona que visita
acid,ácido,Corrosive chemical,Sustancia química
fuss,alboroto,Unnecessary excitement,Agitación
bargain,ganga,Good deal purchase,Compra barata
feast,festín,Large celebratory meal,Banquete
collar,collar,Neck jewelry,Joya
envy,envidia,Jealous resentment,Sentimiento negativo
flame,llama,Visible fire,Fuego
fame,fama,Public recognition,Reconocimiento público
perfume,perfume,Fragrant liquid,Fragancia
protest,protesta,Public objection,Manifestación
psycho,psicópata,Mentally unstable person,Persona con trastorno
emotion,emoción,Strong feeling,Sentimiento
display,exhibición,Public presentation,Presentación
content,contenido,Material inside something,Información incluida
pepper,pimienta,Spicy seasoning,Especia
skirt,falda,Women's garment,Prenda
cruise,crucero,Ship vacation trip,Viaje marítimo
embassy,embajada,Diplomatic office,Oficina diplomática
scar,cicatriz,Mark left after wound,Marca de herida
rhythm,ritmo,Pattern of beats,Patrón musical
myth,mito,Traditional story,Relato cultural
shove,empujón,Forceful push,Empuje
certificate,certificado,Official document,Documento formal
drum,tambor,Percussion instrument,Instrumento musical
infection,infección,Disease caused by microbes,Enfermedad microbiana
scotch,whisky,Scottish whisky,Bebida alcohólica
frog,rana,Amphibian animal,Animal anfibio
chess,ajedrez,Strategy board game,Juego de mesa
belief,creencia,Accepted truth,Idea aceptada
cabinet,gabinete,Government ministers group,Grupo político
rumor,rumor,Unverified information,Información no confirmada
lung,pulmón,Organ for breathing,Órgano respiratorio
rap,rap,Hip-hop vocal music,Género musical
error,error,Mistake,Fallo
debate,debate,Formal discussion,Discusión estructurada
sum,suma,Total amount,Resultado matemático
sweep,barrido,Act of cleaning floor,Acción de barrer
era,era,Historical period,Periodo histórico
vault,bóveda,Secure storage room,Estructura fuerte
liquid,líquido,Fluid substance,Sustancia fluida
aircraft,avión,Flying vehicle,Vehículo aéreo
gunfire,disparos,Shots from firearms,Sonido de armas
chap,chaval,Young man or boy,Joven
fry,fritura,Food cooked in hot oil,Comida frita
cargo,carga,Goods transported by ship or vehicle,Mercancía transportada
fist,puño,Closed hand used for striking,Mano cerrada
sucker,chupón,Person easily fooled or lollipop,Persona ingenua
oven,horno,Appliance used for baking,Aparato para cocinar
hatred,odio,Strong feeling of dislike,Sentimiento intenso
bench,banco,Long seat or court position,Asiento largo
envelope,sobre,Paper container for letters,Contenedor de carta
kindness,amabilidad,Quality of being kind,Actitud amable
helmet,casco,Protective headgear,Protección para la cabeza
twin,gemelo/a,One of two born together,Hermano nacido junto
sailor,marinero,Person who works on ship,Trabajador del mar
ladder,escalera,Steps used for climbing,Estructura para subir
barrel,barril,Large cylindrical container,Contenedor grande
folk,gente,People in general,Personas
banana,banana,Long curved fruit,Fruta tropical
alternative,alternativa,Another possible choice,Opción diferente
designer,diseñador/a,Person creating plans or fashion,Profesional creativo
